Cinsiyet,65 Yaş Üstü,Medeni Durum,Bakma Sorumluluğu,Müşteri Olma Süresi(Ay),Ev Telefonu Aboneliği,Birden Fazla Abonelik Durumu,İnternet Aboneliği,Güvenlik Hizmeti Aboneliği,Yedekleme Hizmeti Aboneliği,Ekipman Güvenlik Aboneliği,Teknik Destek Aboneliği,IP Tv Aboneliği,Film Abonelği,Sözleşme Süresi,Online Fatura(Kağıtsız),Ödeme Şekli,Aylık Ücret,Toplam Ücret,Kayıp Durumu
Kadın,Hayır,Bekar,Yok,46,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Var,1 Yıllık,Hayır,Kredi Kartı,55.65,2688.85,Yok
Kadın,Hayır,Evli,Var,8,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,54.65,482.25,Yok
Erkek,Evet,Bekar,Yok,30,Var,Yok,DSL,Var,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,74.75,2111.3,Yok
Kadın,Hayır,Evli,Var,45,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Evet,Kredi Kartı,25.9,1216.6,Yok
Kadın,Hayır,Bekar,Var,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Evet,Elektronik,79.35,79.35,Var
Kadın,Hayır,Evli,Var,11,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Yok,Var,Var,1 Aylık,Hayır,Elektronik,50.55,565.35,Yok
Kadın,Hayır,Evli,Yok,7,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Havale,75.15,496.9,Var
Kadın,Hayır,Bekar,Yok,42,Var,Yok,Fiber Optik,Yok,Var,Var,Var,Var,Var,1 Aylık,Evet,Havale,103.8,4327.5,Yok
Kadın,Hayır,Evli,Yok,49,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Havale,20.15,973.35,Yok
Erkek,Hayır,Bekar,Yok,9,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,99.3,918.75,Yok
Kadın,Hayır,Evli,Yok,35,Var,Yok,DSL,Var,Yok,Yok,Yok,Var,Yok,1 Yıllık,Evet,Havale,62.15,2215.45,Yok
Kadın,Hayır,Evli,Var,48,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,20.65,1057.0,Yok
Kadın,Hayır,Evli,Var,46,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Mail,19.95,927.1,Yok
Erkek,Hayır,Evli,Yok,29,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Hayır,Mail,33.75,1009.25,Yok
Erkek,Hayır,Evli,Var,30,Var,Yok,Fiber Optik,Yok,Var,Var,Yok,Yok,Yok,1 Aylık,Hayır,Havale,82.05,2570.2,Yok
Erkek,Evet,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Hayır,Elektronik,74.7,74.7,Yok
Erkek,Hayır,Evli,Var,66,Var,Var,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Mail,84.0,5714.25,Yok
Kadın,Hayır,Bekar,Yok,65,Var,Var,Fiber Optik,Var,Var,Var,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,111.05,7107.0,Yok
Erkek,Hayır,Bekar,Yok,72,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,2 Yıllık,Evet,Havale,100.9,7459.05,Yok
Kadın,Hayır,Bekar,Yok,12,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,78.95,927.35,Var
Erkek,Hayır,Evli,Var,71,Var,Var,DSL,Var,Var,Yok,Var,Yok,Yok,1 Yıllık,Evet,Kredi Kartı,66.85,4748.7,Yok
Erkek,Hayır,Bekar,Yok,5,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,21.05,113.85,Var
Erkek,Hayır,Bekar,Yok,52,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,21.0,1107.2,Yok
Kadın,Evet,Evli,Yok,25,Var,Yok,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,98.5,2514.5,Var
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.2,20.2,Yok
Kadın,Hayır,Evli,Var,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Elektronik,19.45,19.45,Yok
Erkek,Hayır,Bekar,Yok,38,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Yok,1 Yıllık,Hayır,Havale,95.0,3605.6,Yok
Kadın,Evet,Evli,Yok,66,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Var,Yok,Var,Yok,1 Yıllık,Hayır,Havale,45.55,3027.25,Yok
Erkek,Hayır,Evli,Yok,68,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,110.0,7611.85,Var
Erkek,Hayır,Bekar,Yok,5,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,24.3,100.2,Yok
Kadın,Hayır,Evli,Var,72,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Var,1 Yıllık,Evet,Elektronik,104.15,7303.05,Yok
Kadın,Hayır,Bekar,Yok,32,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Yıllık,Hayır,Mail,30.15,927.65,Yok
Erkek,Hayır,Bekar,Yok,43,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Yıllık,Hayır,Mail,94.35,3921.3,Yok
Erkek,Hayır,Evli,Var,72,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,19.4,1363.25,Yok
Erkek,Hayır,Evli,Yok,55,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Elektronik,96.75,5238.9,Var
Kadın,Hayır,Bekar,Yok,52,Var,Yok,DSL,Var,Yok,Var,Var,Yok,Yok,1 Yıllık,Hayır,Kredi Kartı,57.95,3042.25,Yok
Kadın,Hayır,Bekar,Yok,43,Var,Yok,Fiber Optik,Yok,Var,Var,Yok,Var,Yok,1 Aylık,Evet,Elektronik,91.65,3954.1,Yok
Kadın,Evet,Evli,Yok,37,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,76.5,2868.15,Var
Kadın,Hayır,Evli,Var,64,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Var,Var,Var,2 Yıllık,Evet,Elektronik,54.6,3423.5,Yok
Erkek,Hayır,Evli,Var,3,Var,Yok,Fiber Optik,Var,Var,Yok,Yok,Var,Yok,1 Aylık,Hayır,Elektronik,89.85,248.4,Yok
Kadın,Hayır,Bekar,Yok,36,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,2 Yıllık,Hayır,Havale,31.05,1126.35,Yok
Kadın,Hayır,Evli,Var,10,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,100.25,1064.65,Var
Kadın,Hayır,Bekar,Yok,41,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.65,835.15,Yok
Erkek,Hayır,Evli,Var,27,Var,Var,Fiber Optik,Yok,Var,Yok,Var,Yok,Yok,1 Aylık,Evet,Kredi Kartı,85.2,2151.6,Yok
Kadın,Hayır,Evli,Var,56,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Yıllık,Evet,Kredi Kartı,99.8,5515.45,Yok
Kadın,Hayır,Bekar,Yok,6,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.7,112.75,Yok
Erkek,Hayır,Bekar,Yok,3,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,74.4,229.55,Var
Kadın,Hayır,Evli,Var,7,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,50.7,350.35,Yok
Kadın,Hayır,Evli,Var,4,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.85,62.9,Yok
Erkek,Hayır,Bekar,Yok,33,Var,Yok,Fiber Optik,Var,Yok,Yok,Var,Var,Yok,2 Yıllık,Evet,Elektronik,88.95,3027.65,Yok
Kadın,Evet,Bekar,Yok,27,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,78.05,2135.5,Var
Erkek,Hayır,Evli,Yok,72,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Havale,23.55,1723.95,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.75,19.75,Yok
Erkek,Evet,Bekar,Yok,71,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Yok,Yok,Var,Var,1 Yıllık,Evet,Elektronik,56.45,3985.35,Yok
Kadın,Hayır,Bekar,Yok,13,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,85.95,1215.65,Yok
Kadın,Hayır,Evli,Var,25,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,58.6,1502.65,Var
Erkek,Hayır,Bekar,Yok,67,Var,Yok,DSL,Yok,Yok,Yok,Var,Yok,Yok,2 Yıllık,Hayır,Havale,50.55,3260.1,Yok
Erkek,Hayır,Bekar,Yok,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,35.45,35.45,Var
Erkek,Hayır,Bekar,Yok,2,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,44.35,81.25,Var
Kadın,Hayır,Bekar,Yok,43,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Kredi Kartı,25.7,1188.2,Yok
Kadın,Hayır,Bekar,Yok,23,Var,Yok,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,75.0,1778.5,Yok
Kadın,Hayır,Evli,Var,64,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.2,1277.75,Yok
Erkek,Hayır,Bekar,Var,57,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Mail,19.6,1170.55,Yok
Kadın,Evet,Evli,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,70.45,70.45,Var
